estado;inicio;varinicio;varfim;pt_v;id;vir;inteiro;real;literal;leia;escreva;lit;num;atr;opa;se;ab_p;fc_p;entao;opr;fimse;fim;eof
14;ERRO-14-inicio;ERRO-14-varinicio;ERRO-14-varfim;ERRO-14-pt_v;ERRO-14-id;ERRO-14-vir;ERRO-14-inteiro;ERRO-14-real;ERRO-14-literal;ERRO-14-literal;ERRO-14-escreva;ERRO-14-lit;ERRO-14-num;ERRO-14-atr;ERRO-14-opa;ERRO-14-se;S36;ERRO-14-fc_p;ERRO-14-entao;ERRO-14-opr;ERRO-14-fimse;ERRO-14-fim;ERRO-14-eof
15;ERRO-15-inicio;ERRO-15-varinicio;ERRO-15-varfim;ERRO-15-pt_v;R2;ERRO-15-vir;ERRO-15-inteiro;ERRO-15-real;ERRO-15-literal;R2;R2;ERRO-15-lit;ERRO-15-num;ERRO-15-atr;ERRO-15-opa;R2;ERRO-15-ab_p;ERRO-15-fc_p;ERRO-15-entao;ERRO-15-opr;ERRO-15-fimse;R2;ERRO-15-eof
16;ERRO-16-inicio;ERRO-16-varinicio;S17;ERRO-16-pt_v;ERRO-16-id;ERRO-16-vir;S19;S20;S21;ERRO-16-literal;ERRO-16-escreva;ERRO-16-lit;ERRO-16-num;ERRO-16-atr;ERRO-16-opa;ERRO-16-se;ERRO-16-ab_p;ERRO-16-fc_p;ERRO-16-entao;ERRO-16-opr;ERRO-16-fimse;ERRO-16-fim;ERRO-16-eof
17;ERRO-17-inicio;ERRO-17-varinicio;ERRO-17-varfim;S38;ERRO-17-id;ERRO-17-vir;ERRO-17-inteiro;ERRO-17-real;ERRO-17-literal;ERRO-17-literal;ERRO-17-escreva;ERRO-17-lit;ERRO-17-num;ERRO-17-atr;ERRO-17-opa;ERRO-17-se;ERRO-17-ab_p;ERRO-17-fc_p;ERRO-17-entao;ERRO-17-opr;ERRO-17-fimse;ERRO-17-fim;ERRO-17-eof
18;ERRO-18-inicio;ERRO-18-varinicio;ERRO-18-varfim;ERRO-18-pt_v;S40;ERRO-18-vir;ERRO-18-inteiro;ERRO-18-real;ERRO-18-literal;ERRO-18-literal;ERRO-18-escreva;ERRO-18-lit;ERRO-18-num;ERRO-18-atr;ERRO-18-opa;ERRO-18-se;ERRO-18-ab_p;ERRO-18-fc_p;ERRO-18-entao;ERRO-18-opr;ERRO-18-fimse;ERRO-18-fim;ERRO-18-eof
19;ERRO-19-inicio;ERRO-19-varinicio;ERRO-19-varfim;ERRO-19-pt_v;R8;ERRO-19-vir;ERRO-19-inteiro;ERRO-19-real;ERRO-19-literal;ERRO-19-literal;ERRO-19-escreva;ERRO-19-lit;ERRO-19-num;ERRO-19-atr;ERRO-19-opa;ERRO-19-se;ERRO-19-ab_p;ERRO-19-fc_p;ERRO-19-entao;ERRO-19-opr;ERRO-19-fimse;ERRO-19-fim;ERRO-19-eof
20;ERRO-20-inicio;ERRO-20-varinicio;ERRO-20-varfim;ERRO-20-pt_v;R9;ERRO-20-vir;ERRO-20-inteiro;ERRO-20-real;ERRO-20-literal;ERRO-20-literal;ERRO-20-escreva;ERRO-20-lit;ERRO-20-num;ERRO-20-atr;ERRO-20-opa;ERRO-20-se;ERRO-20-ab_p;ERRO-20-fc_p;ERRO-20-entao;ERRO-20-opr;ERRO-20-fimse;ERRO-20-fim;ERRO-20-eof
21;ERRO-21-inicio;ERRO-21-varinicio;ERRO-21-varfim;ERRO-21-pt_v;R10;ERRO-21-vir;ERRO-21-inteiro;ERRO-21-real;ERRO-21-literal;ERRO-21-literal;ERRO-21-escreva;ERRO-21-lit;ERRO-21-num;ERRO-21-atr;ERRO-21-opa;ERRO-21-se;ERRO-21-ab_p;ERRO-21-fc_p;ERRO-21-entao;ERRO-21-opr;ERRO-21-fimse;ERRO-21-fim;ERRO-21-eof
22;ERRO-22-inicio;ERRO-22-varinicio;ERRO-22-varfim;ERRO-22-pt_v;ERRO-22-id;ERRO-22-vir;ERRO-22-inteiro;ERRO-22-real;ERRO-22-literal;ERRO-22-literal;ERRO-22-escreva;ERRO-22-lit;ERRO-22-num;ERRO-22-atr;ERRO-22-opa;ERRO-22-se;ERRO-22-ab_p;ERRO-22-fc_p;ERRO-22-entao;ERRO-22-opr;ERRO-22-fimse;ERRO-22-fim;R11
23;ERRO-23-inicio;ERRO-23-varinicio;ERRO-23-varfim;ERRO-23-pt_v;ERRO-23-id;ERRO-23-vir;ERRO-23-inteiro;ERRO-23-real;ERRO-23-literal;ERRO-23-literal;ERRO-23-escreva;ERRO-23-lit;ERRO-23-num;ERRO-23-atr;ERRO-23-opa;ERRO-23-se;ERRO-23-ab_p;ERRO-23-fc_p;ERRO-23-entao;ERRO-23-opr;ERRO-23-fimse;ERRO-23-fim;R17
